p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3284,0.3519000000000001,1.8432,0.13880000000000003,0.5147999999999999,0.21340000000000015,3.4858,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7236,0.2922,2.1871,0.266,0.4635,0.21340000000000015,3.4858,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.3183,0.3454999999999999,2.9686,0.556,0.6503000000000001,0.21340000000000015,3.4858,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.9186,0.9672000000000001,3.7719,0.9836999999999998,0.8533,0.21340000000000015,3.4858,no,noisy(diff=+0.8533<=iqr=0.9837); random_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0
