p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3394,0.21670000000000011,1.9244,0.2903,0.5850000000000002,0.2571,3.5191,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.9456,0.5518000000000001,2.1765,0.2259000000000002,0.23089999999999988,0.2571,3.5191,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.5969,0.4134000000000002,2.6462,0.04190000000000005,0.04929999999999968,0.2571,3.5191,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.6829,0.39970000000000017,3.2628,0.5714999999999999,0.5798999999999999,0.2571,3.5191,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
