p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3798,0.5412000000000001,1.7881,0.31889999999999996,0.4083000000000001,0.3063499999999999,3.5328,no,noisy(diff=+0.4083<=iqr=0.5412),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.8678,0.3362999999999998,2.2546,0.1896,0.38680000000000003,0.3063499999999999,3.5328,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.2605,0.3466,2.7386,0.32589999999999986,0.47809999999999997,0.3063499999999999,3.5328,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8468,0.31020000000000003,3.094,0.33740000000000014,0.24719999999999986,0.3063499999999999,3.5328,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
