p1,p1_name,p2,p2_name,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,D,0.0,m,0.9549,0.16104999999999992,0.9743,0.4376500000000001,0.019400000000000084,0.14015,3.6025,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,D,0.0,m,0.9019,0.09765000000000001,0.9662,0.16529999999999978,0.06429999999999991,0.14015,3.6025,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,D,0.0,m,0.9078,0.1434000000000002,0.9576,0.21045000000000003,0.049799999999999955,0.14015,3.6025,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,D,0.0,m,0.9141,0.10470000000000002,0.9032,0.10559999999999992,-0.01090000000000002,0.14015,3.6025,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,D,0.0,m,0.9687,0.17845,0.9515,0.19210000000000016,-0.017199999999999993,0.14015,3.6025,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
