p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3758,0.4555,1.9436,0.26770000000000027,0.5678000000000001,0.2542,3.8891,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7224,0.1177999999999999,2.4583,0.5479000000000003,0.7359,0.2542,3.8891,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.4105,0.3033000000000001,2.8539,0.2124999999999999,0.4434,0.2542,3.8891,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8716,0.45940000000000003,3.3147,0.2934000000000001,0.44310000000000027,0.2542,3.8891,no,noisy(diff=+0.4431<=iqr=0.4594),0.0,0.0,0.0,0.0,0.0,0.0,0.0
