p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.4286,0.36050000000000004,1.8762,0.45830000000000015,0.4476,0.7318999999999999,3.6632,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.8099,0.3111999999999999,2.3964,0.7130000000000001,0.5864999999999998,0.7318999999999999,3.6632,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.3471,0.1972999999999998,2.9873,0.8003,0.6401999999999997,0.7318999999999999,3.6632,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8253,0.6541000000000001,3.4562,0.5589,0.6309,0.7318999999999999,3.6632,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
