p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3741,0.4077000000000002,1.9027,0.42659999999999987,0.5286,0.21384999999999987,4.3576,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7334,0.1826000000000001,2.1959,0.7806000000000002,0.4624999999999999,0.21384999999999987,4.3576,no,noisy(diff=+0.4625<=iqr=0.7806),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.6145,0.28959999999999964,2.6576,0.0613999999999999,0.043099999999999916,0.21384999999999987,4.3576,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8003,0.28459999999999974,3.3262,0.4382999999999999,0.5259,0.21384999999999987,4.3576,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
