p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3832,0.41579999999999995,1.963,0.19259999999999988,0.5798000000000001,0.16179999999999994,3.7535,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7099,0.21279999999999988,2.221,0.3313999999999999,0.5111000000000001,0.16179999999999994,3.7535,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.2674,0.18850000000000033,2.8409,0.27659999999999973,0.5735000000000001,0.16179999999999994,3.7535,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8128,0.25160000000000027,3.163,0.2847999999999997,0.3501999999999996,0.16179999999999994,3.7535,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
