p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.499,0.3406,1.8144,0.24249999999999994,0.3153999999999999,0.23849999999999993,3.7575,no,noisy(diff=+0.3154<=iqr=0.3406),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7871,0.18009999999999993,2.2674,0.4283999999999999,0.48029999999999995,0.23849999999999993,3.7575,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.2551,0.15939999999999976,2.9655,0.2820999999999998,0.7103999999999999,0.23849999999999993,3.7575,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.9143,0.4131,3.1201,0.34620000000000006,0.20579999999999998,0.23849999999999993,3.7575,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
