p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3717,0.4728000000000001,1.8308,0.272,0.45910000000000006,0.22199999999999998,3.5141,no,noisy(diff=+0.4591<=iqr=0.4728),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.6904,0.20399999999999996,2.4088,0.3298000000000001,0.7183999999999999,0.22199999999999998,3.5141,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.2489,0.3325999999999998,3.0054,0.7133000000000003,0.7565,0.22199999999999998,3.5141,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.9302,0.49449999999999994,3.2988,0.6383000000000001,0.3685999999999998,0.22199999999999998,3.5141,no,noisy(diff=+0.3686<=iqr=0.6383),0.0,0.0,0.0,0.0,0.0,0.0,0.0
