p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3599,0.24960000000000004,1.9101,0.20439999999999992,0.5501999999999998,0.20645000000000013,3.8784,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7283,0.2932000000000001,2.2436,0.17890000000000006,0.5152999999999999,0.20645000000000013,3.8784,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.3504,0.38280000000000003,2.7949,0.1966000000000001,0.4445000000000001,0.20645000000000013,3.8784,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8679,0.3319000000000001,3.1037,0.41000000000000014,0.2357999999999998,0.20645000000000013,3.8784,no,noisy(diff=+0.2358<=iqr=0.4100),0.0,0.0,0.0,0.0,0.0,0.0,0.0
