p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.3481,0.43179999999999996,1.8115,0.22550000000000003,0.46340000000000003,0.28490000000000015,3.6829,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7891,0.1633,2.1884,0.30010000000000003,0.3993000000000002,0.28490000000000015,3.6829,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.516,0.44510000000000005,2.7758,0.46819999999999995,0.2597999999999998,0.28490000000000015,3.6829,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.7399,0.5967000000000002,3.5053,0.5916000000000001,0.7654000000000001,0.28490000000000015,3.6829,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
