p1,p1_name,p2,p2_name,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,D,0.0,m,0.8883,0.06050000000000011,0.9319,0.10740000000000016,0.04359999999999997,0.036150000000000015,3.4781,no,noisy(diff=+0.0436<=iqr=0.1074),0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,D,0.0,m,0.8869,0.08094999999999997,0.9269,0.08949999999999991,0.039999999999999925,0.036150000000000015,3.4781,no,noisy(diff=+0.0400<=iqr=0.0895),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,D,0.0,m,0.8961,0.08800000000000008,0.9352,0.08584999999999998,0.039100000000000024,0.036150000000000015,3.4781,no,noisy(diff=+0.0391<=iqr=0.0880),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,D,0.0,m,1.033,0.2570500000000001,0.9583,0.06859999999999988,-0.07469999999999988,0.036150000000000015,3.4781,no,"negative_diff_within_spread(-0.0747<-nf=0.0362,<=iqr=0.2571)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,D,0.0,m,1.0015,0.1252000000000001,0.9898,0.17425000000000002,-0.011700000000000044,0.036150000000000015,3.4781,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
