p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.4094,0.37050000000000005,1.8362,0.42489999999999983,0.42680000000000007,0.5994000000000002,3.6479,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.8343,0.6337999999999997,2.4287,0.7603999999999997,0.5944,0.5994000000000002,3.6479,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.2905,0.9485999999999999,3.1268,0.5688,0.8362999999999996,0.5994000000000002,3.6479,no,noisy(diff=+0.8363<=iqr=0.9486),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8601,0.41590000000000016,3.2884,0.5139,0.4283000000000001,0.5994000000000002,3.6479,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
