p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.6377,0.3199000000000001,1.8635,0.45989999999999975,0.2258,0.26290000000000013,3.4696,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,2.0318,0.5350999999999999,2.3501,0.35029999999999983,0.3182999999999998,0.26290000000000013,3.4696,no,noisy(diff=+0.3183<=iqr=0.5351),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.3048,0.22409999999999997,3.7954,1.4101999999999997,1.4905999999999997,0.26290000000000013,3.4696,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,3.1751,1.0432000000000001,3.9716,0.8483,0.7965,0.26290000000000013,3.4696,no,noisy(diff=+0.7965<=iqr=1.0432); random_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0
