p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.4106,0.13559999999999994,1.8107,0.4376000000000002,0.4000999999999999,0.37344999999999995,3.5986,no,noisy(diff=+0.4001<=iqr=0.4376),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.8289,0.4112,2.2054,0.30510000000000037,0.37650000000000006,0.37344999999999995,3.5986,no,noisy(diff=+0.3765<=iqr=0.4112),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.316,0.5287999999999999,2.8884,0.6767000000000003,0.5724,0.37344999999999995,3.5986,no,noisy(diff=+0.5724<=iqr=0.6767),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.7783,0.6136999999999997,3.2403,0.4173,0.46199999999999974,0.37344999999999995,3.5986,no,noisy(diff=+0.4620<=iqr=0.6137),0.0,0.0,0.0,0.0,0.0,0.0,0.0
