p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.517,0.4548000000000001,2.4522,0.5568,0.9352,0.2784,3.9079,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.7645,0.31689999999999996,2.473,0.6503000000000001,0.7084999999999999,0.2784,3.9079,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.2244,0.06030000000000024,3.2703,0.6814999999999998,1.0459,0.2784,3.9079,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.8774,0.2856000000000001,3.758,0.6826000000000003,0.8805999999999998,0.2784,3.9079,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
