p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.4471,0.5210999999999999,1.8788,0.4375,0.4317,0.3833,3.7336,no,noisy(diff=+0.4317<=iqr=0.5211),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.819,1.2675000000000003,2.6153,0.3993000000000002,0.7963,0.3833,3.7336,no,noisy(diff=+0.7963<=iqr=1.2675),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.4265,0.8485,3.1826,0.8445999999999998,0.7561,0.3833,3.7336,no,noisy(diff=+0.7561<=iqr=0.8485),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.9979,0.7623000000000002,3.1612,0.8798999999999997,0.1633,0.3833,3.7336,no,random_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0
