p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.4508,0.7326999999999999,1.9259,0.36770000000000014,0.47509999999999986,1.2612,3.6026,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.8677,0.4092,2.1984,0.7598000000000003,0.3307,1.2612,3.6026,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.6558,0.22199999999999998,2.6332,0.1498999999999997,-0.022600000000000176,1.2612,3.6026,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,2.9885,0.6456,3.4092,1.0682999999999998,0.42069999999999963,1.2612,3.6026,no,random_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0
