p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
5.0,2.0,1.4377,0.41900000000000004,2.0557,0.39639999999999986,0.6179999999999999,0.5868,3.5523,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,1.78,0.38780000000000014,2.5,0.6904000000000003,0.72,0.5868,3.5523,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,2.3234,0.23819999999999997,3.2905,0.7690999999999999,0.9671000000000003,0.5868,3.5523,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,3.5871,1.1830000000000003,3.3153,1.0906000000000002,-0.2717999999999998,0.5868,3.5523,no,random_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0
