p1,p1_name,p2,p2_name,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,random_sat,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,D,0.0,m,0.8839,0.09665000000000001,0.9191,0.07125000000000004,0.03520000000000001,0.08675,3.4904,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,D,0.0,m,0.8854,0.10054999999999992,0.9336,0.10434999999999994,0.04820000000000002,0.08675,3.4904,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,D,0.0,m,0.8565,0.06459999999999999,0.9278,0.10044999999999993,0.07129999999999992,0.08675,3.4904,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,D,0.0,m,0.9356,0.11034999999999995,0.9547,0.10275000000000012,0.019100000000000006,0.08675,3.4904,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,D,0.0,m,0.9286,0.06920000000000004,0.9232,0.07704999999999995,-0.00539999999999996,0.08675,3.4904,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
