p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
3.0,0.0,1.8737,0.11219999999999986,3.156,0.11825000000000019,1.2823000000000002,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,1.9188,0.16244999999999998,3.1204,0.09730000000000016,1.2016,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,1.9468,0.1255999999999995,3.1077,0.04734999999999978,1.1608999999999998,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,2.1922,0.2724500000000001,3.1306,0.07754999999999956,0.9383999999999997,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,2.5787,0.09755000000000003,3.135,0.08044999999999991,0.5562999999999998,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,3.0422,0.07755000000000045,3.1414,0.051449999999999996,0.09920000000000018,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,3.1281,0.06899999999999995,3.1541,0.12590000000000012,0.026000000000000245,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,3.1115,0.08204999999999973,3.1204,0.05979999999999963,0.00890000000000013,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,3.116,0.09315000000000007,3.1293,0.07345000000000024,0.01330000000000009,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,3.1204,0.04039999999999999,3.1287,0.06359999999999966,0.008299999999999752,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,3.1128,0.06394999999999973,3.1293,0.04324999999999957,0.01650000000000018,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,3.1376,0.07340000000000035,3.1223,0.10335000000000072,-0.01529999999999987,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
