p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8687,0.052999999999999936,0.8965,0.04965000000000008,0.027799999999999936,0.04265000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8422,0.04025000000000001,0.8811,0.046800000000000064,0.038900000000000046,0.04265000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8396,0.04190000000000005,0.8835,0.04039999999999999,0.04389999999999994,0.04265000000000002,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.868,0.035150000000000015,0.8656,0.03445000000000009,-0.0023999999999999577,0.04265000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.869,0.05489999999999995,0.8676,0.0747500000000001,-0.0013999999999999568,0.04265000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
