p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8421,0.07194999999999996,0.8817,0.0645,0.03960000000000008,0.03055000000000002,no,noisy(diff=+0.0396<=iqr=0.0719),0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8471,0.04920000000000002,0.9,0.04544999999999999,0.05290000000000006,0.03055000000000002,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8499,0.04709999999999992,0.8909,0.043300000000000005,0.041000000000000036,0.03055000000000002,no,noisy(diff=+0.0410<=iqr=0.0471),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8779,0.04499999999999993,0.8829,0.05235000000000012,0.0050000000000000044,0.03055000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8699,0.057800000000000074,0.8668,0.0534,-0.0030999999999999917,0.03055000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,2.0,0.8699,0.05379999999999996,0.8657,0.057150000000000034,-0.0041999999999999815,0.03055000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
