p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8272,0.05645,0.8678,0.06240000000000001,0.04059999999999997,0.039899999999999936,no,noisy(diff=+0.0406<=iqr=0.0624),0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8206,0.04905000000000004,0.8589,0.050799999999999956,0.0383,0.039899999999999936,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8199,0.057499999999999996,0.8589,0.05305000000000004,0.039000000000000035,0.039899999999999936,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8826,0.06599999999999995,0.8801,0.06834999999999991,-0.0025000000000000577,0.039899999999999936,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.88,0.06164999999999998,0.8817,0.05369999999999997,0.0017000000000000348,0.039899999999999936,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
