p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8392,0.06974999999999998,0.8715,0.07240000000000002,0.032300000000000106,0.04594999999999999,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.819,0.047700000000000076,0.869,0.044399999999999995,0.050000000000000044,0.04594999999999999,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8171,0.055199999999999916,0.8689,0.058150000000000035,0.05179999999999996,0.04594999999999999,no,noisy(diff=+0.0518<=iqr=0.0582),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.891,0.047800000000000065,0.8892,0.0434500000000001,-0.0018000000000000238,0.04594999999999999,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8818,0.050549999999999984,0.8735,0.0545500000000001,-0.008299999999999974,0.04594999999999999,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
