p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8287,0.0464,0.8715,0.038349999999999995,0.04280000000000006,0.024950000000000083,no,noisy(diff=+0.0428<=iqr=0.0464),0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8326,0.059350000000000014,0.8698,0.06459999999999999,0.03720000000000001,0.024950000000000083,no,noisy(diff=+0.0372<=iqr=0.0646),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8461,0.05635000000000001,0.8882,0.0565500000000001,0.042100000000000026,0.024950000000000083,no,noisy(diff=+0.0421<=iqr=0.0566),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8899,0.04069999999999996,0.8871,0.028400000000000092,-0.0028000000000000247,0.024950000000000083,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8753,0.028900000000000037,0.8786,0.028349999999999986,0.0033000000000000806,0.024950000000000083,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
