p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8315,0.03754999999999997,0.8715,0.03374999999999995,0.040000000000000036,0.032350000000000045,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8376,0.058149999999999924,0.8898,0.061549999999999994,0.052200000000000024,0.032350000000000045,no,noisy(diff=+0.0522<=iqr=0.0615),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8511,0.06619999999999993,0.8893,0.0673999999999999,0.03820000000000001,0.032350000000000045,no,noisy(diff=+0.0382<=iqr=0.0674),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8911,0.027549999999999963,0.8924,0.030399999999999983,0.0012999999999999678,0.032350000000000045,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8856,0.041749999999999954,0.8841,0.06595000000000006,-0.0015000000000000568,0.032350000000000045,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
