p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
96.0,2.0,0.5951,0.031850000000000156,0.6158,0.020349999999999868,0.02070000000000005,0.013600000000000001,no,noisy(diff=+0.0207<=iqr=0.0319),0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,2.0,0.603,0.023699999999999943,0.6282,0.02429999999999999,0.0252,0.013600000000000001,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,2.0,0.6018,0.022749999999999937,0.615,0.019750000000000045,0.01319999999999999,0.013600000000000001,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,2.0,0.6295,0.04349999999999998,0.6252,0.03510000000000002,-0.0042999999999999705,0.013600000000000001,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2.0,0.6274,0.023600000000000065,0.6258,0.02045000000000008,-0.0015999999999999348,0.013600000000000001,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
