p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8707,0.058150000000000035,0.9073,0.04970000000000008,0.036599999999999966,0.0403,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8432,0.04559999999999986,0.8827,0.04479999999999995,0.03950000000000009,0.0403,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8488,0.047799999999999954,0.8899,0.03564999999999996,0.041100000000000025,0.0403,no,noisy(diff=+0.0411<=iqr=0.0478),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.874,0.0371999999999999,0.8667,0.037250000000000005,-0.007299999999999973,0.0403,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8769,0.061550000000000105,0.8717,0.06915000000000004,-0.005199999999999982,0.0403,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
