p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8404,0.05885000000000007,0.8809,0.05864999999999998,0.04049999999999998,0.025000000000000022,no,noisy(diff=+0.0405<=iqr=0.0589),0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8538,0.048450000000000104,0.8827,0.049349999999999894,0.028900000000000037,0.025000000000000022,no,noisy(diff=+0.0289<=iqr=0.0493),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8502,0.03849999999999998,0.8953,0.045950000000000046,0.04510000000000003,0.025000000000000022,no,noisy(diff=+0.0451<=iqr=0.0460),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8806,0.044499999999999984,0.8849,0.055499999999999994,0.0042999999999999705,0.025000000000000022,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8713,0.04569999999999996,0.8721,0.047250000000000014,0.0008000000000000229,0.025000000000000022,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
