p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8296,0.03990000000000005,0.8722,0.02949999999999997,0.04259999999999997,0.03169999999999995,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8416,0.06310000000000004,0.8712,0.06390000000000007,0.02959999999999996,0.03169999999999995,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.836,0.07580000000000009,0.888,0.07040000000000002,0.052000000000000046,0.03169999999999995,no,noisy(diff=+0.0520<=iqr=0.0758),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.896,0.03400000000000003,0.8933,0.03550000000000009,-0.0027000000000000357,0.03169999999999995,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8705,0.027899999999999925,0.8674,0.026549999999999963,-0.0031000000000001027,0.03169999999999995,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
