p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
96.0,2.0,0.6088,0.02485000000000004,0.6263,0.024600000000000066,0.01749999999999996,0.023700000000000054,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,2.0,0.5844,0.03830000000000011,0.6107,0.040099999999999913,0.02629999999999999,0.023700000000000054,no,noisy(diff=+0.0263<=iqr=0.0401),0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,2.0,0.6048,0.018000000000000016,0.6237,0.020950000000000024,0.018900000000000028,0.023700000000000054,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,2.0,0.6259,0.03520000000000001,0.6229,0.028749999999999942,-0.0030000000000000027,0.023700000000000054,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2.0,0.6239,0.025500000000000078,0.628,0.018950000000000022,0.0040999999999999925,0.023700000000000054,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
