p1,corr_dist_elements,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
32.0,65.0,0.0,3.0317,0.031200000000000117,3.0213,0.03489999999999993,-0.010399999999999743,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,67.0,0.0,3.0096,0.029649999999999732,3.0239,0.04310000000000036,0.01429999999999998,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,69.0,0.0,3.0127,0.03189999999999982,3.0034,0.026399999999999757,-0.009300000000000086,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,71.0,0.0,3.0174,0.035600000000000076,3.0088,0.033199999999999896,-0.008599999999999941,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,73.0,0.0,3.0141,0.032849999999999824,2.9973,0.02349999999999941,-0.016799999999999926,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,75.0,0.0,3.0233,0.02719999999999967,3.0174,0.04624999999999968,-0.005900000000000016,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,77.0,0.0,3.0208,0.028249999999999886,3.0166,0.0246000000000004,-0.0041999999999999815,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,79.0,0.0,3.0193,0.025599999999999845,3.0181,0.019850000000000367,-0.0011999999999998678,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,81.0,0.0,3.026,0.024350000000000094,3.0185,0.018450000000000077,-0.00749999999999984,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,83.0,0.0,3.0247,0.01839999999999975,3.0232,0.024700000000000166,-0.0015000000000000568,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,85.0,0.0,3.0245,0.013549999999999951,3.0168,0.02740000000000009,-0.007700000000000262,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,87.0,0.0,3.029,0.012299999999999756,3.0182,0.020350000000000534,-0.010799999999999699,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,89.0,0.0,3.0206,0.054700000000000415,3.0305,0.034250000000000114,0.00990000000000002,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,91.0,0.0,3.0185,0.018049999999999677,3.0202,0.013849999999999696,0.0017000000000000348,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,93.0,0.0,3.0125,0.028900000000000148,3.0197,0.021600000000000286,0.007199999999999651,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,95.0,0.0,3.0239,0.023250000000000437,3.0161,0.016899999999999693,-0.007800000000000029,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,97.0,0.0,3.0141,0.0268000000000006,3.0112,0.02929999999999966,-0.0028999999999999027,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,99.0,0.0,3.0403,0.14924999999999988,3.0275,0.046949999999999825,-0.012799999999999923,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,101.0,0.0,3.0469,0.02925000000000022,3.0379,0.018999999999999684,-0.008999999999999897,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,103.0,0.0,3.0015,0.015649999999999942,3.0075,0.01794999999999991,0.005999999999999783,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,105.0,0.0,3.0217,0.056700000000000195,3.0203,0.04249999999999998,-0.0013999999999998458,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,107.0,0.0,3.0096,0.03125,3.0127,0.02674999999999983,0.0031000000000003247,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,109.0,0.0,3.0201,0.022850000000000037,3.0169,0.015149999999999775,-0.0031999999999996476,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,111.0,0.0,3.0146,0.04654999999999987,3.0087,0.05300000000000038,-0.005900000000000016,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,113.0,0.0,3.015,0.024650000000000283,3.0062,0.017999999999999794,-0.008799999999999919,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,115.0,0.0,3.0132,0.0193500000000002,3.016,0.03255000000000008,0.0028000000000001357,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,117.0,0.0,3.0212,0.15285000000000037,3.0204,0.08504999999999985,-0.0007999999999999119,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,119.0,0.0,3.0481,0.051850000000000396,3.0501,0.03974999999999973,0.002000000000000224,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,121.0,0.0,3.0526,0.03270000000000017,3.0457,0.06630000000000003,-0.006899999999999906,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,123.0,0.0,3.0427,0.04514999999999958,3.0421,0.06299999999999972,-0.0005999999999999339,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,125.0,0.0,3.0352,0.04620000000000024,3.0326,0.03369999999999962,-0.0026000000000001577,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,127.0,0.0,3.0167,0.02094999999999958,3.0125,0.026350000000000318,-0.0041999999999999815,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,129.0,0.0,3.0146,0.02499999999999991,3.0207,0.02605000000000013,0.006099999999999994,0.04535,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
