p1,hist_len_lower,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
1.0,3.0,0.0,1.6963,0.09125000000000005,2.7841,0.0858500000000002,1.0878,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,1.7338,0.12590000000000012,2.9132,0.19455000000000044,1.1793999999999998,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,0.0,1.6759,0.1551499999999999,2.7777,0.11534999999999984,1.1018,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,17.0,0.0,2.7714,0.06769999999999987,2.7911,0.18625000000000025,0.019700000000000273,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,33.0,0.0,2.7415,0.14460000000000006,2.807,0.07600000000000051,0.06550000000000011,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,65.0,0.0,2.7428,0.16054999999999975,2.7771,0.11539999999999973,0.0343,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,129.0,0.0,2.7733,0.08799999999999919,2.7523,0.15550000000000042,-0.020999999999999908,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,257.0,0.0,2.7771,0.16210000000000013,2.8178,0.1884999999999999,0.04070000000000018,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256.0,513.0,0.0,2.7733,0.1010500000000003,2.758,0.12079999999999957,-0.01529999999999987,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
