p1,hist_len_lower,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
1.0,3.0,0.0,1.6607,0.08455000000000013,2.7866,0.14939999999999998,1.1259,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,1.6066,0.1624500000000002,2.7752,0.06515000000000004,1.1685999999999999,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,1.5678,0.10299999999999998,2.7866,0.09730000000000061,1.2187999999999999,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,0.0,1.6365,0.15454999999999997,2.758,0.14594999999999958,1.1215,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,11.0,0.0,2.2208,0.17869999999999964,2.7955,0.11634999999999973,0.5747,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,13.0,0.0,2.6271,0.2683,2.7682,0.06259999999999977,0.14110000000000023,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,15.0,0.0,2.739,0.12775000000000025,2.7606,0.07885000000000009,0.021600000000000286,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,17.0,0.0,2.7574,0.09689999999999976,2.7498,0.1634000000000002,-0.007600000000000051,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,19.0,0.0,2.7409,0.07059999999999977,2.7676,0.07664999999999988,0.026699999999999946,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,21.0,0.0,2.7695,0.0772999999999997,2.7231,0.06200000000000028,-0.046399999999999775,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,23.0,0.0,2.7453,0.18184999999999985,2.7714,0.11094999999999988,0.026100000000000012,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,25.0,0.0,2.8089,0.13545000000000007,2.7771,0.11355000000000004,-0.03180000000000005,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,27.0,0.0,2.7771,0.10645000000000016,2.786,0.08330000000000037,0.00890000000000013,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,29.0,0.0,2.7758,0.09344999999999981,2.7695,0.1458999999999997,-0.006299999999999972,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
