p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8434,0.03270000000000006,0.8817,0.0353,0.0383,0.02375000000000005,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8406,0.07235000000000003,0.8762,0.05784999999999996,0.035599999999999965,0.02375000000000005,no,noisy(diff=+0.0356<=iqr=0.0724),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8407,0.07369999999999999,0.8699,0.07140000000000002,0.029200000000000004,0.02375000000000005,no,noisy(diff=+0.0292<=iqr=0.0737),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8899,0.03644999999999987,0.8889,0.03464999999999996,-0.0010000000000000009,0.02375000000000005,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8749,0.021649999999999947,0.8706,0.024399999999999977,-0.0042999999999999705,0.02375000000000005,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
