p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8415,0.024849999999999928,0.8763,0.02454999999999996,0.03479999999999994,0.030849999999999933,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8347,0.0595500000000001,0.869,0.054400000000000004,0.0343,0.030849999999999933,no,noisy(diff=+0.0343<=iqr=0.0596),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8368,0.07420000000000004,0.8872,0.07630000000000003,0.0504,0.030849999999999933,no,noisy(diff=+0.0504<=iqr=0.0763),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8969,0.035499999999999976,0.8892,0.04269999999999996,-0.00770000000000004,0.030849999999999933,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8807,0.06720000000000004,0.8828,0.06979999999999986,0.0020999999999999908,0.030849999999999933,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
