p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8476,0.060450000000000004,0.8978,0.0524,0.05020000000000002,0.04289999999999994,no,noisy(diff=+0.0502<=iqr=0.0605),0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8477,0.04335,0.8879,0.05125000000000002,0.040200000000000014,0.04289999999999994,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8481,0.04005000000000003,0.8886,0.04459999999999997,0.04049999999999998,0.04289999999999994,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8814,0.04830000000000001,0.883,0.0532999999999999,0.0016000000000000458,0.04289999999999994,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.8718,0.04544999999999999,0.8717,0.04910000000000003,-9.999999999998899e-05,0.04289999999999994,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
