p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
64.0,2.0,0.8483,0.035499999999999976,0.878,0.03530000000000011,0.02969999999999995,0.03310000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,0.8351,0.05115000000000003,0.8798,0.05125000000000002,0.04470000000000007,0.03310000000000002,no,noisy(diff=+0.0447<=iqr=0.0513),0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0,0.8349,0.06579999999999997,0.8689,0.06359999999999999,0.03400000000000003,0.03310000000000002,no,noisy(diff=+0.0340<=iqr=0.0658),0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,0.8899,0.04475000000000007,0.8952,0.06305000000000005,0.005299999999999971,0.03310000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.0,0.883,0.06780000000000008,0.8887,0.06530000000000002,0.005700000000000038,0.03310000000000002,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
